name,code
ketoconazole,J02AB02
triazole derivatives,J02AC
fluconazole,J02AC01
itraconazole,J02AC02
voriconazole,J02AC03
posaconazole,J02AC04
isavuconazole,J02AC05
other antimycotics for systemic use,J02AX
flucytosine,J02AX01
caspofungin,J02AX04
micafungin,J02AX05
anidulafungin,J02AX06
antibiotics,J02AA
amphotericin b,J02AA01
hachimycin,J02AA02
antimycobacterials,J04
drugs for treatment of tuberculosis,J04A
antibiotics,J04AB
cycloserine,J04AB01
rifampicin,J04AB02
rifamycin,J04AB03
rifabutin,J04AB04
rifapentine,J04AB05
enviomycin,J04AB06
capreomycin,J04AB30
hydrazides,J04AC
isoniazid,J04AC01
"isoniazid, combinations",J04AC51
thiocarbamide derivatives,J04AD
protionamide,J04AD01
tiocarlide,J04AD02
ethionamide,J04AD03
other drugs for treatment of tuberculosis,J04AK
pyrazinamide,J04AK01
ethambutol,J04AK02
terizidone,J04AK03
morinamide,J04AK04
bedaquiline,J04AK05
delamanid,J04AK06
thioacetazone,J04AK07
pretomanid,J04AK08
combinations of drugs for treatment of tuberculosis,J04AM
streptomycin and isoniazid,J04AM01
rifampicin and isoniazid,J04AM02
ethambutol and isoniazid,J04AM03
thioacetazone and isoniazid,J04AM04
"rifampicin, pyrazinamide and isoniazid",J04AM05
"rifampicin, pyrazinamide, ethambutol and isoniazid",J04AM06
"rifampicin, ethambutol and isoniazid",J04AM07
"isoniazid, sulfamethoxazole, trimethoprim and pyridoxine",J04AM08
drugs for treatment of lepra,J04B
drugs for treatment of lepra,J04BA
clofazimine,J04BA01
dapsone,J04BA02
aldesulfone sodium,J04BA03
aminosalicylic acid and derivatives,J04AA
4-aminosalicylic acid,J04AA01
sodium aminosalicylate,J04AA02
calcium aminosalicylate,J04AA03
antivirals for systemic use,J05
direct acting antivirals,J05A
nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB
aciclovir,J05AB01
idoxuridine,J05AB02
vidarabine,J05AB03
ganciclovir,J05AB06
famciclovir,J05AB09
valaciclovir,J05AB11
cidofovir,J05AB12
penciclovir,J05AB13
valganciclovir,J05AB14
brivudine,J05AB15
cyclic amines,J05AC
rimantadine,J05AC02
tromantadine,J05AC03
phosphonic acid derivatives,J05AD
foscarnet,J05AD01
fosfonet,J05AD02
protease inhibitors,J05AE
saquinavir,J05AE01
indinavir,J05AE02
ritonavir,J05AE03
nelfinavir,J05AE04
amprenavir,J05AE05
fosamprenavir,J05AE07
atazanavir,J05AE08
tipranavir,J05AE09
darunavir,J05AE10
nucleoside and nucleotide reverse transcriptase inhibitors,J05AF
zidovudine,J05AF01
didanosine,J05AF02
zalcitabine,J05AF03
stavudine,J05AF04
lamivudine,J05AF05
abacavir,J05AF06
tenofovir disoproxil,J05AF07
adefovir dipivoxil,J05AF08
emtricitabine,J05AF09
entecavir,J05AF10
telbivudine,J05AF11
clevudine,J05AF12
tenofovir alafenamide,J05AF13
non-nucleoside reverse transcriptase inhibitors,J05AG
nevirapine,J05AG01
delavirdine,J05AG02
efavirenz,J05AG03
etravirine,J05AG04
rilpivirine,J05AG05
doravirine,J05AG06
neuraminidase inhibitors,J05AH
zanamivir,J05AH01
oseltamivir,J05AH02
peramivir,J05AH03
laninamivir,J05AH04
integrase inhibitors,J05AJ
raltegravir,J05AJ01
elvitegravir,J05AJ02
dolutegravir,J05AJ03
cabotegravir,J05AJ04
antivirals for treatment of hcv infections,J05AP
ribavirin,J05AP01
telaprevir,J05AP02
boceprevir,J05AP03
faldaprevir,J05AP04
simeprevir,J05AP05
asunaprevir,J05AP06
daclatasvir,J05AP07
sofosbuvir,J05AP08
dasabuvir,J05AP09
elbasvir,J05AP10
grazoprevir,J05AP11
sofosbuvir and ledipasvir,J05AP51
"dasabuvir, ombitasvir, paritaprevir and ritonavir",J05AP52
"ombitasvir, paritaprevir and ritonavir",J05AP53
elbasvir and grazoprevir,J05AP54
sofosbuvir and velpatasvir,J05AP55
"sofosbuvir, velpatasvir and voxilaprevir",J05AP56
glecaprevir and pibrentasvir,J05AP57
"daclatasvir, asunaprevir and beclabuvir",J05AP58
"antivirals for treatment of hiv infections, combinations",J05AR
zidovudine and lamivudine,J05AR01
lamivudine and abacavir,J05AR02
tenofovir disoproxil and emtricitabine,J05AR03
"zidovudine, lamivudine and abacavir",J05AR04
"zidovudine, lamivudine and nevirapine",J05AR05
"emtricitabine, tenofovir disoproxil and efavirenz",J05AR06
"stavudine, lamivudine and nevirapine",J05AR07
"emtricitabine, tenofovir disoproxil and rilpivirine",J05AR08
"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat",J05AR09
lopinavir and ritonavir,J05AR10
"lamivudine, tenofovir disoproxil and efavirenz",J05AR11
lamivudine and tenofovir disoproxil,J05AR12
"lamivudine, abacavir and dolutegravir",J05AR13
darunavir and cobicistat,J05AR14
atazanavir and cobicistat,J05AR15
lamivudine and raltegravir,J05AR16
emtricitabine and tenofovir alafenamide,J05AR17
"emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat",J05AR18
"emtricitabine, tenofovir alafenamide and rilpivirine",J05AR19
"emtricitabine, tenofovir alafenamide and bictegravir",J05AR20
dolutegravir and rilpivirine,J05AR21
"emtricitabine, tenofovir alafenamide, darunavir and cobicistat",J05AR22
atazanavir and ritonavir,J05AR23
"lamivudine, tenofovir disoproxil and doravirine",J05AR24
lamivudine and dolutegravir,J05AR25
darunavir and ritonavir,J05AR26
"lamivudine, tenofovir disoproxil and dolutegravir",J05AR27
other antivirals,J05AX
moroxydine,J05AX01
lysozyme,J05AX02
inosine pranobex,J05AX05
pleconaril,J05AX06
enfuvirtide,J05AX07
maraviroc,J05AX09
maribavir,J05AX10
umifenovir,J05AX13
enisamium iodide,J05AX17
letermovir,J05AX18
tilorone,J05AX19
pentanedioic acid imidazolyl ethanamide,J05AX21
ibalizumab,J05AX23
tecovirimat,J05AX24
baloxavir marboxil,J05AX25
amenamevir,J05AX26
favipiravir,J05AX27
bulevirtide,J05AX28
fostemsavir,J05AX29
thiosemicarbazones,J05AA
metisazone,J05AA01
immune sera and immunoglobulins,J06
immune sera,J06A
immunoglobulins,J06B
"immunoglobulins, normal human",J06BA
"immunoglobulins, normal human, for extravascular adm.",J06BA01
"immunoglobulins, normal human, for intravascular adm.",J06BA02
specific immunoglobulins,J06BB
anti-d (rh) immunoglobulin,J06BB01
tetanus immunoglobulin,J06BB02
varicella/zoster immunoglobulin,J06BB03
hepatitis b immunoglobulin,J06BB04
rabies immunoglobulin,J06BB05
rubella immunoglobulin,J06BB06
vaccinia immunoglobulin,J06BB07
staphylococcus immunoglobulin,J06BB08
cytomegalovirus immunoglobulin,J06BB09
diphtheria immunoglobulin,J06BB10
hepatitis a immunoglobulin,J06BB11
"encephalitis, tick borne immunoglobulin",J06BB12
pertussis immunoglobulin,J06BB13
measles immunoglobulin,J06BB14
mumps immunoglobulin,J06BB15
palivizumab,J06BB16
motavizumab,J06BB17
raxibacumab,J06BB18
anthrax immunoglobulin,J06BB19
bezlotoxumab,J06BB21
obiltoxaximab,J06BB22
combinations,J06BB30
other immunoglobulins,J06BC
nebacumab,J06BC01
immune sera,J06AA
diphtheria antitoxin,J06AA01
tetanus antitoxin,J06AA02
snake venom antiserum,J06AA03
botulinum antitoxin,J06AA04
gas-gangrene sera,J06AA05
rabies serum,J06AA06
vaccines,J07
bacterial vaccines,J07A
anthrax vaccines,J07AC
anthrax antigen,J07AC01
brucellosis vaccines,J07AD
brucella antigen,J07AD01
cholera vaccines,J07AE
"cholera, inactivated, whole cell",J07AE01
"cholera, live attenuated",J07AE02
"cholera, combinations with typhoid vaccine, inactivated, whole cell",J07AE51
diphtheria vaccines,J07AF
diphtheria toxoid,J07AF01
haemophilus influenzae b vaccines,J07AG
"haemophilus influenzae b, purified antigen conjugated",J07AG01
"haemophilus influenzae b, combinations with toxoids",J07AG51
"haemophilus influenzae b, combinations with pertussis and toxoids",J07AG52
"haemophilus influenzae b, combinations with meningococcus c, conjugated",J07AG53
meningococcal vaccines,J07AH
"meningococcus a, purified polysaccharides antigen",J07AH01
other meningococcal monovalent purified polysaccharides antigen,J07AH02
"meningococcus a,c, bivalent purified polysaccharides antigen",J07AH03
"meningococcus a,c,y,w-135, tetravalent purified polysaccharides antigen",J07AH04
other meningococcal polyvalent purified polysaccharides antigen,J07AH05
"meningococcus b, outer membrane vesicle vaccine",J07AH06
"meningococcus c, purified polysaccharides antigen conjugated",J07AH07
"meningococcus a,c,y,w-135, tetravalent purified polysaccharides antigen conjugated",J07AH08
"meningococcus b, multicomponent vaccine",J07AH09
"meningococcus a, purified polysaccharides antigen conjugated",J07AH10
pertussis vaccines,J07AJ
"pertussis, inactivated, whole cell",J07AJ01
"pertussis, purified antigen",J07AJ02
"pertussis, inactivated, whole cell, combinations with toxoids",J07AJ51
"pertussis, purified antigen, combinations with toxoids",J07AJ52
plague vaccines,J07AK
"plague, inactivated, whole cell",J07AK01
pneumococcal vaccines,J07AL
"pneumococcus, purified polysaccharides antigen",J07AL01
"pneumococcus, purified polysaccharides antigen conjugated",J07AL02
"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated",J07AL52
tetanus vaccines,J07AM
tetanus toxoid,J07AM01
"tetanus toxoid, combinations with diphtheria toxoid",J07AM51
"tetanus toxoid, combinations with tetanus immunoglobulin",J07AM52
tuberculosis vaccines,J07AN
"tuberculosis, live attenuated",J07AN01
typhoid vaccines,J07AP
"typhoid, oral, live attenuated",J07AP01
"typhoid, inactivated, whole cell",J07AP02
"typhoid, purified polysaccharide antigen",J07AP03
"typhoid, combinations with paratyphi types",J07AP10
typhus (exanthematicus) vaccines,J07AR
"typhus exanthematicus, inactivated, whole cell",J07AR01
other bacterial vaccines,J07AX
viral vaccines,J07B
encephalitis vaccines,J07BA
"encephalitis, tick borne, inactivated, whole virus",J07BA01
"encephalitis, japanese, inactivated, whole virus",J07BA02
"encephalitis, japanese, live attenuated",J07BA03
influenza vaccines,J07BB
"influenza, inactivated, whole virus",J07BB01
"influenza, inactivated, split virus or surface antigen",J07BB02
"influenza, live attenuated",J07BB03
"influenza, virus like particles",J07BB04
hepatitis vaccines,J07BC
"hepatitis b, purified antigen",J07BC01
"hepatitis a, inactivated, whole virus",J07BC02
combinations,J07BC20
measles vaccines,J07BD
"measles, live attenuated",J07BD01
"measles, combinations with mumps, live attenuated",J07BD51
"measles, combinations with mumps and rubella, live attenuated",J07BD52
"measles, combinations with rubella, live attenuated",J07BD53
"measles, combinations with mumps, rubella and varicella, live attenuated",J07BD54
mumps vaccines,J07BE
"mumps, live attenuated",J07BE01
poliomyelitis vaccines,J07BF
"poliomyelitis oral, monovalent, live attenuated",J07BF01
"poliomyelitis oral, trivalent, live attenuated",J07BF02
"poliomyelitis, trivalent, inactivated, whole virus",J07BF03
"poliomyelitis oral, bivalent, live attenuated",J07BF04
rabies vaccines,J07BG
"rabies, inactivated, whole virus",J07BG01
rota virus diarrhea vaccines,J07BH
"rota virus, live attenuated",J07BH01
"rota virus, pentavalent, live, reassorted",J07BH02
rubella vaccines,J07BJ
"rubella, live attenuated",J07BJ01
"rubella, combinations with mumps, live attenuated",J07BJ51
varicella zoster vaccines,J07BK
"varicella, live attenuated",J07BK01
"zoster, live attenuated",J07BK02
"zoster, purified antigen",J07BK03
yellow fever vaccines,J07BL
"yellow fever, live attenuated",J07BL01
papillomavirus vaccines,J07BM
"papillomavirus (human types 6, 11, 16, 18)",J07BM01
"papillomavirus (human types 16, 18)",J07BM02
"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)",J07BM03
other viral vaccines,J07BX
smallpox vaccines,J07BX01
ebola vaccines,J07BX02
"bacterial and viral vaccines, combined",J07C
"bacterial and viral vaccines, combined",J07CA
diphtheria-poliomyelitis-tetanus,J07CA01
diphtheria-pertussis-poliomyelitis-tetanus,J07CA02
diphtheria-rubella-tetanus,J07CA03
haemophilus influenzae b and poliomyelitis,J07CA04
diphtheria-hepatitis b-pertussis-tetanus,J07CA05
diphtheria-haemophilus influenzae b-pertussis-poliomyelitis-tetanus,J07CA06
diphtheria-hepatitis b-tetanus,J07CA07
haemophilus influenzae b and hepatitis b,J07CA08
diphtheria-haemophilus influenzae b-pertussis-poliomyelitis-tetanus-hepatitis b,J07CA09
typhoid-hepatitis a,J07CA10
diphtheria-haemophilus influenzae b-pertussis-tetanus-hepatitis b,J07CA11
diphtheria-pertussis-poliomyelitis-tetanus-hepatitis b,J07CA12
diphtheria-haemophilus influenzae b-pertussis-tetanus-hepatitis b-meningococcus a + c,J07CA13
other vaccines,J07X
antineoplastic and immunomodulating agents,L
antineoplastic agents,L01
alkylating agents,L01A
alkyl sulfonates,L01AB
busulfan,L01AB01
treosulfan,L01AB02
mannosulfan,L01AB03
ethylene imines,L01AC
thiotepa,L01AC01
triaziquone,L01AC02
carboquone,L01AC03
nitrosoureas,L01AD
carmustine,L01AD01
lomustine,L01AD02
semustine,L01AD03
streptozocin,L01AD04
fotemustine,L01AD05
nimustine,L01AD06
ranimustine,L01AD07
uramustine,L01AD08
epoxides,L01AG
etoglucid,L01AG01
other alkylating agents,L01AX
mitobronitol,L01AX01
pipobroman,L01AX02
temozolomide,L01AX03
dacarbazine,L01AX04
antimetabolites,L01B
folic acid analogues,L01BA
methotrexate,L01BA01
raltitrexed,L01BA03
pemetrexed,L01BA04
pralatrexate,L01BA05
purine analogues,L01BB
mercaptopurine,L01BB02
tioguanine,L01BB03
cladribine,L01BB04
fludarabine,L01BB05
clofarabine,L01BB06
nelarabine,L01BB07
pyrimidine analogues,L01BC
cytarabine,L01BC01
fluorouracil,L01BC02
tegafur,L01BC03
carmofur,L01BC04
gemcitabine,L01BC05
capecitabine,L01BC06
azacitidine,L01BC07
decitabine,L01BC08
floxuridine,L01BC09
"fluorouracil, combinations",L01BC52
"tegafur, combinations",L01BC53
"trifluridine, combinations",L01BC59
plant alkaloids and other natural products,L01C
vinca alkaloids and analogues,L01CA
vinblastine,L01CA01
vincristine,L01CA02
vindesine,L01CA03
vinorelbine,L01CA04
vinflunine,L01CA05
vintafolide,L01CA06
podophyllotoxin derivatives,L01CB
etoposide,L01CB01
teniposide,L01CB02
colchicine derivatives,L01CC
demecolcine,L01CC01
taxanes,L01CD
paclitaxel,L01CD01
docetaxel,L01CD02
paclitaxel poliglumex,L01CD03
cabazitaxel,L01CD04
topoisomerase 1 (top1) inhibitors,L01CE
topotecan,L01CE01
irinotecan,L01CE02
etirinotecan pegol,L01CE03
belotecan,L01CE04
other plant alkaloids and natural products,L01CX
trabectedin,L01CX01
cytotoxic antibiotics and related substances,L01D
actinomycines,L01DA
dactinomycin,L01DA01
anthracyclines and related substances,L01DB
doxorubicin,L01DB01
daunorubicin,L01DB02
epirubicin,L01DB03
aclarubicin,L01DB04
zorubicin,L01DB05
idarubicin,L01DB06
mitoxantrone,L01DB07
pirarubicin,L01DB08
valrubicin,L01DB09
amrubicin,L01DB10
pixantrone,L01DB11
other cytotoxic antibiotics,L01DC
bleomycin,L01DC01
plicamycin,L01DC02
mitomycin,L01DC03
ixabepilone,L01DC04
protein kinase inhibitors,L01E
bcr-abl tyrosine kinase inhibitors,L01EA
imatinib,L01EA01
dasatinib,L01EA02
nilotinib,L01EA03
bosutinib,L01EA04
ponatinib,L01EA05
epidermal growth factor receptor (egfr) tyrosine kinase inhibitors,L01EB
gefitinib,L01EB01
erlotinib,L01EB02
afatinib,L01EB03
osimertinib,L01EB04
rociletinib,L01EB05
olmutinib,L01EB06
dacomitinib,L01EB07
icotinib,L01EB08
b-raf serine-threonine kinase (braf) inhibitors,L01EC
vemurafenib,L01EC01
dabrafenib,L01EC02
encorafenib,L01EC03
anaplastic lymphoma kinase (alk) inhibitors,L01ED
crizotinib,L01ED01
ceritinib,L01ED02
alectinib,L01ED03
brigatinib,L01ED04
lorlatinib,L01ED05
mitogen-activated protein kinase (mek) inhibitors,L01EE
trametinib,L01EE01
cobimetinib,L01EE02
binimetinib,L01EE03
selumetinib,L01EE04
cyclin-dependent kinase (cdk) inhibitors,L01EF
palbociclib,L01EF01
ribociclib,L01EF02
abemaciclib,L01EF03
mammalian target of rapamycin (mtor) kinase inhibitors,L01EG
temsirolimus,L01EG01
everolimus,L01EG02
ridaforolimus,L01EG03
human epidermal growth factor receptor 2 (her2) tyrosine kinase inhibitors,L01EH
lapatinib,L01EH01
neratinib,L01EH02
tucatinib,L01EH03
janus-associated kinase (jak) inhibitors,L01EJ
ruxolitinib,L01EJ01
fedratinib,L01EJ02
vascular endothelial growth factor receptor (vegfr) tyrosine kinase inhibitors,L01EK
axitinib,L01EK01
cediranib,L01EK02
tivozanib,L01EK03
bruton's tyrosine kinase (btk) inhibitors,L01EL
ibrutinib,L01EL01
acalabrutinib,L01EL02
zanubrutinib,L01EL03
phosphatidylinositol-3-kinase (pi3k) inhibitors,L01EM
idelalisib,L01EM01
copanlisib,L01EM02
alpelisib,L01EM03
duvelisib,L01EM04
other protein kinase inhibitors,L01EX
sunitinib,L01EX01
sorafenib,L01EX02
pazopanib,L01EX03
vandetanib,L01EX04
regorafenib,L01EX05
masitinib,L01EX06
cabozantinib,L01EX07
lenvatinib,L01EX08
nintedanib,L01EX09
midostaurin,L01EX10
quizartinib,L01EX11
larotrectinib,L01EX12
gilteritinib,L01EX13
entrectinib,L01EX14
pexidartinib,L01EX15
erdafitinib,L01EX16
capmatinib,L01EX17
avapritinib,L01EX18
ripretinib,L01EX19
pemigatinib,L01EX20
tepotinib,L01EX21
other antineoplastic agents,L01X
platinum compounds,L01XA
cisplatin,L01XA01
carboplatin,L01XA02
oxaliplatin,L01XA03
satraplatin,L01XA04
polyplatillen,L01XA05
methylhydrazines,L01XB
procarbazine,L01XB01
monoclonal antibodies,L01XC
edrecolomab,L01XC01
rituximab,L01XC02
trastuzumab,L01XC03
gemtuzumab ozogamicin,L01XC05
cetuximab,L01XC06
bevacizumab,L01XC07
panitumumab,L01XC08
catumaxomab,L01XC09
ofatumumab,L01XC10
ipilimumab,L01XC11
brentuximab vedotin,L01XC12
pertuzumab,L01XC13
trastuzumab emtansine,L01XC14
obinutuzumab,L01XC15
dinutuximab beta,L01XC16
nivolumab,L01XC17
pembrolizumab,L01XC18
blinatumomab,L01XC19
ramucirumab,L01XC21
necitumumab,L01XC22
elotuzumab,L01XC23
daratumumab,L01XC24
mogamulizumab,L01XC25
inotuzumab ozogamicin,L01XC26
olaratumab,L01XC27
durvalumab,L01XC28
bermekimab,L01XC29
avelumab,L01XC31
atezolizumab,L01XC32
cemiplimab,L01XC33
moxetumomab pasudotox,L01XC34
tafasitamab,L01XC35
enfortumab vedotin,L01XC36
polatuzumab vedotin,L01XC37
isatuximab,L01XC38
belantamab mafodotin,L01XC39
dostarlimab,L01XC40
trastuzumab deruxtecan,L01XC41
sensitizers used in photodynamic/radiation therapy,L01XD
porfimer sodium,L01XD01
methyl aminolevulinate,L01XD03
aminolevulinic acid,L01XD04
temoporfin,L01XD05
efaproxiral,L01XD06
padeliporfin,L01XD07
retinoids for cancer treatment,L01XF
tretinoin,L01XF01
alitretinoin,L01XF02
bexarotene,L01XF03
proteasome inhibitors,L01XG
bortezomib,L01XG01
carfilzomib,L01XG02
ixazomib,L01XG03
histone deacetylase (hdac) inhibitors,L01XH
vorinostat,L01XH01
romidepsin,L01XH02
panobinostat,L01XH03
belinostat,L01XH04
entinostat,L01XH05
hedgehog pathway inhibitors,L01XJ
vismodegib,L01XJ01
sonidegib,L01XJ02
glasdegib,L01XJ03
poly (adp-ribose) polymerase (parp) inhibitors,L01XK
olaparib,L01XK01
niraparib,L01XK02
rucaparib,L01XK03
talazoparib,L01XK04
veliparib,L01XK05
other antineoplastic agents,L01XX
amsacrine,L01XX01
asparaginase,L01XX02
altretamine,L01XX03
hydroxycarbamide,L01XX05
lonidamine,L01XX07
pentostatin,L01XX08
masoprocol,L01XX10
estramustine,L01XX11
mitoguazone,L01XX16
tiazofurine,L01XX18
mitotane,L01XX23
pegaspargase,L01XX24
arsenic trioxide,L01XX27
denileukin diftitox,L01XX29
celecoxib,L01XX33
anagrelide,L01XX35
oblimersen,L01XX36
sitimagene ceradenovec,L01XX37
omacetaxine mepesuccinate,L01XX40
eribulin,L01XX41
aflibercept,L01XX44
talimogene laherparepvec,L01XX51
venetoclax,L01XX52
vosaroxin,L01XX53
plitidepsin,L01XX57
epacadostat,L01XX58
enasidenib,L01XX59
ivosidenib,L01XX62
selinexor,L01XX66
tagraxofusp,L01XX67
lurbinectedin,L01XX69
axicabtagene ciloleucel,L01XX70
tisagenlecleucel,L01XX71
combinations of antineoplastic agents,L01XY
cytarabine and daunorubicin,L01XY01
pertuzumab and trastuzumab,L01XY02
nitrogen mustard analogues,L01AA
cyclophosphamide,L01AA01
chlorambucil,L01AA02
melphalan,L01AA03
chlormethine,L01AA05
ifosfamide,L01AA06
trofosfamide,L01AA07
prednimustine,L01AA08
bendamustine,L01AA09
endocrine therapy,L02
hormones and related agents,L02A
progestogens,L02AB
megestrol,L02AB01
medroxyprogesterone,L02AB02
gestonorone,L02AB03
gonadotropin releasing hormone analogues,L02AE
buserelin,L02AE01
leuprorelin,L02AE02
goserelin,L02AE03
triptorelin,L02AE04
histrelin,L02AE05
leuprorelin and bicalutamide,L02AE51
other hormones,L02AX
hormone antagonists and related agents,L02B
anti-estrogens,L02BA
tamoxifen,L02BA01
toremifene,L02BA02
fulvestrant,L02BA03
anti-androgens,L02BB
flutamide,L02BB01
nilutamide,L02BB02
bicalutamide,L02BB03
enzalutamide,L02BB04
apalutamide,L02BB05
darolutamide,L02BB06
aromatase inhibitors,L02BG
aminoglutethimide,L02BG01
formestane,L02BG02
anastrozole,L02BG03
letrozole,L02BG04
vorozole,L02BG05
exemestane,L02BG06
other hormone antagonists and related agents,L02BX
abarelix,L02BX01
degarelix,L02BX02
abiraterone,L02BX03
estrogens,L02AA
diethylstilbestrol,L02AA01
polyestradiol phosphate,L02AA02
ethinylestradiol,L02AA03
fosfestrol,L02AA04
immunostimulants,L03
immunostimulants,L03A
interferons,L03AB
interferon alfa natural,L03AB01
interferon beta natural,L03AB02
interferon gamma,L03AB03
interferon alfa-2a,L03AB04
interferon alfa-2b,L03AB05
interferon alfa-n1,L03AB06
interferon beta-1a,L03AB07
interferon beta-1b,L03AB08
interferon alfacon-1,L03AB09
peginterferon alfa-2b,L03AB10
peginterferon alfa-2a,L03AB11
albinterferon alfa-2b,L03AB12
peginterferon beta-1a,L03AB13
cepeginterferon alfa-2b,L03AB14
ropeginterferon alfa-2b,L03AB15
"peginterferon alfa-2b, combinations",L03AB60
"peginterferon alfa-2a, combinations",L03AB61
interleukins,L03AC
aldesleukin,L03AC01
oprelvekin,L03AC02
other immunostimulants,L03AX
lentinan,L03AX01
roquinimex,L03AX02
bcg vaccine,L03AX03
pegademase,L03AX04
pidotimod,L03AX05
poly i:c,L03AX07
poly iclc,L03AX08
thymopentin,L03AX09
immunocyanin,L03AX10
tasonermin,L03AX11
melanoma vaccine,L03AX12
glatiramer acetate,L03AX13
histamine dihydrochloride,L03AX14
mifamurtide,L03AX15
plerixafor,L03AX16
sipuleucel-t,L03AX17
cridanimod,L03AX18
dasiprotimut-t,L03AX19
elapegademase,L03AX21
colony stimulating factors,L03AA
filgrastim,L03AA02
molgramostim,L03AA03
sargramostim,L03AA09
lenograstim,L03AA10
ancestim,L03AA12
pegfilgrastim,L03AA13
lipegfilgrastim,L03AA14
balugrastim,L03AA15
empegfilgrastim,L03AA16
pegteograstim,L03AA17
immunosuppressants,L04
immunosuppressants,L04A
tumor necrosis factor alpha (tnf-alpha) inhibitors,L04AB
etanercept,L04AB01
infliximab,L04AB02
afelimomab,L04AB03
adalimumab,L04AB04
certolizumab pegol,L04AB05
golimumab,L04AB06
opinercept,L04AB07
interleukin inhibitors,L04AC
daclizumab,L04AC01
basiliximab,L04AC02
anakinra,L04AC03
rilonacept,L04AC04
ustekinumab,L04AC05
tocilizumab,L04AC07
canakinumab,L04AC08
briakinumab,L04AC09
secukinumab,L04AC10
siltuximab,L04AC11
brodalumab,L04AC12
ixekizumab,L04AC13
sarilumab,L04AC14
sirukumab,L04AC15
guselkumab,L04AC16
tildrakizumab,L04AC17
risankizumab,L04AC18
satralizumab,L04AC19
calcineurin inhibitors,L04AD
ciclosporin,L04AD01
tacrolimus,L04AD02
voclosporin,L04AD03
other immunosuppressants,L04AX
azathioprine,L04AX01
thalidomide,L04AX02
methotrexate,L04AX03
lenalidomide,L04AX04
pirfenidone,L04AX05
pomalidomide,L04AX06
dimethyl fumarate,L04AX07
darvadstrocel,L04AX08
selective immunosuppressants,L04AA
muromonab-cd3,L04AA02
antilymphocyte immunoglobulin (horse),L04AA03
antithymocyte immunoglobulin (rabbit),L04AA04
mycophenolic acid,L04AA06
sirolimus,L04AA10
leflunomide,L04AA13
alefacept,L04AA15
everolimus,L04AA18
gusperimus,L04AA19
efalizumab,L04AA21
abetimus,L04AA22
natalizumab,L04AA23
abatacept,L04AA24
eculizumab,L04AA25
belimumab,L04AA26
fingolimod,L04AA27
belatacept,L04AA28
tofacitinib,L04AA29
teriflunomide,L04AA31
apremilast,L04AA32
vedolizumab,L04AA33
alemtuzumab,L04AA34
begelomab,L04AA35
ocrelizumab,L04AA36
baricitinib,L04AA37
ozanimod,L04AA38
emapalumab,L04AA39
cladribine,L04AA40
imlifidase,L04AA41
siponimod,L04AA42
ravulizumab,L04AA43
upadacitinib,L04AA44
filgotinib,L04AA45
itacitinib,L04AA46
inebilizumab,L04AA47
musculo-skeletal system,M
antiinflammatory and antirheumatic products,M01
"antiinflammatory and antirheumatic products, non-steroids",M01A
acetic acid derivatives and related substances,M01AB
indometacin,M01AB01
sulindac,M01AB02
tolmetin,M01AB03
zomepirac,M01AB04
diclofenac,M01AB05
alclofenac,M01AB06
bumadizone,M01AB07
etodolac,M01AB08
lonazolac,M01AB09
fentiazac,M01AB10
acemetacin,M01AB11
difenpiramide,M01AB12
oxametacin,M01AB13
proglumetacin,M01AB14
ketorolac,M01AB15
aceclofenac,M01AB16
bufexamac,M01AB17
"indometacin, combinations",M01AB51
"diclofenac, combinations",M01AB55
oxicams,M01AC
piroxicam,M01AC01
tenoxicam,M01AC02
droxicam,M01AC04
lornoxicam,M01AC05
meloxicam,M01AC06
"meloxicam, combinations",M01AC56
propionic acid derivatives,M01AE
ibuprofen,M01AE01
naproxen,M01AE02
ketoprofen,M01AE03
fenoprofen,M01AE04
fenbufen,M01AE05
benoxaprofen,M01AE06
suprofen,M01AE07
pirprofen,M01AE08
flurbiprofen,M01AE09
indoprofen,M01AE10
tiaprofenic acid,M01AE11
oxaprozin,M01AE12
ibuproxam,M01AE13
dexibuprofen,M01AE14
flunoxaprofen,M01AE15
alminoprofen,M01AE16
dexketoprofen,M01AE17
naproxcinod,M01AE18
"ibuprofen, combinations",M01AE51
naproxen and esomeprazole,M01AE52
"ketoprofen, combinations",M01AE53
naproxen and misoprostol,M01AE56
fenamates,M01AG
mefenamic acid,M01AG01
tolfenamic acid,M01AG02
flufenamic acid,M01AG03
meclofenamic acid,M01AG04
coxibs,M01AH
celecoxib,M01AH01
rofecoxib,M01AH02
valdecoxib,M01AH03
parecoxib,M01AH04
etoricoxib,M01AH05
lumiracoxib,M01AH06
polmacoxib,M01AH07
"other antiinflammatory and antirheumatic agents, non-steroids",M01AX
nabumetone,M01AX01
niflumic acid,M01AX02
azapropazone,M01AX04
glucosamine,M01AX05
benzydamine,M01AX07
glucosaminoglycan polysulfate,M01AX12
proquazone,M01AX13
orgotein,M01AX14
nimesulide,M01AX17
feprazone,M01AX18
diacerein,M01AX21
morniflumate,M01AX22
tenidap,M01AX23
oxaceprol,M01AX24
chondroitin sulfate,M01AX25
